prefixo;numero_titulo;parcela;tipo;cliente_codigo;loja;nome_cliente;dt_emissao;vencimento;vendedor;gerente;Saldo atual
AFI;14870;;NF;002645;04;COMPL. HOSP SAO CAET;08/05/2026;20/05/2026;JESSICA CRUZ;AMAURI;R$ 71.245,20
AFI;14871;;NF;002645;04;COMPL. HOSP SAO CAET;08/05/2026;20/05/2026;JESSICA CRUZ;AMAURI;R$ 714.172,23
AFI;14874;;NF;780585;01;FMS - FUNDO MUNICIAL;11/05/2026;10/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 26.133,24
AFI;14905;;NF;780517;01;ITAPEVI GABINETE PRE;18/05/2026;17/06/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 88.265,32
AFI;14913;;NF;001106;01;STA CASA SANTOS;19/05/2026;18/06/2026;CARLOS TEIXEIRA NETO ELETRONICA;RONALDO;R$ 48.500,00
AFI;14927;;NF;008309;01;HELMED;25/05/2026;24/06/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 300,00
AFI;14951;;NF;000978;02;ANDRE SACCO;29/05/2026;29/06/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 10.050,00
AFI;14954;;NF;000978;02;ANDRE SACCO;29/05/2026;29/06/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;RONALDO;R$ 140.687,00
AFI;14955;;NF;000978;02;ANDRE SACCO;29/05/2026;29/06/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 5.900,00
AFI;14961;;NF;001628;01;BENEF PORT SAO PAULO;01/06/2026;16/06/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 75.000,00
AFI;14985;;NF;001021;02;HOSPITAL FREI GALVAO;02/06/2026;17/06/2026;HENRIQUE CARVALHO;AMAURI;R$ 600,00
AFI;14994;;NF;006483;03;ASSOC FIL NV ESPERAN;02/06/2026;17/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 2.800,00
AFI;15048;;NF;002645;04;COMPL. HOSP SAO CAET;11/06/2026;22/06/2026;JESSICA CRUZ;AMAURI;R$ 716.339,23
AFI;15049;;NF;002645;04;COMPL. HOSP SAO CAET;11/06/2026;22/06/2026;JESSICA CRUZ;AMAURI;R$ 71.245,20
MAN;13250478;002;FT;780415;01;GLOBAL CRS;11/03/2026;13/04/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 24.858,00
MAN;13250478;003;FT;780415;01;GLOBAL CRS;11/03/2026;15/05/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 24.858,00
MAN;13250478;004;FT;780415;01;GLOBAL CRS;11/03/2026;15/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 24.858,00
008;396;003;NF;780564;01;SALES MACHADO;12/09/2025;30/12/2025;SULAMITA;CELSO;R$ 9.427,09
008;464;003;NF;780564;01;SALES MACHADO;23/10/2025;21/01/2026;SULAMITA;CELSO;R$ 8.810,84
008;503;;NF;000982;01;H SAO LUCAS;13/11/2025;11/12/2025;CARLOS TEIXEIRA NETO ELETRONICA;RENATO;R$ 1.200,00
008;732;;NF;010007;04;T.K.S. SISTEMAS HOSP;27/02/2026;27/03/2026;MARCIA;CELSO;R$ 50.200,00
008;760;001;NF;780741;01;ROCHA MEDICAL;10/03/2026;16/06/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 19.033,22
008;807;002;NF;780741;01;ROCHA MEDICAL;27/03/2026;25/06/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 28.562,06
008;844;;NF;780924;01;OMNI MEDICAL LTDA;08/04/2026;08/05/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 1.200,00
AFI;14610;;NF;000801;01;ALTERNATIVE MEDICAL;02/04/2026;30/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 1.300,00
AFI;14968;;NF;007661;01;FES;01/06/2026;01/07/2026;VITAMED;AMAURI;R$ 820.762,98
AFI;14976;;NF;001021;31;HOSPITAL SALVALUS;02/06/2026;30/06/2026;FERNANDO DURAO LORDELLO FILHO;RONALDO;R$ 13.200,00
AFI;15030;;NF;002423;01;STA CASA SAO CARLOS;09/06/2026;30/06/2026;MAZER & ROSSETO COM MANUT EQUIP HOSPITAL;RONALDO;R$ 22.600,00
AFI;14974;;NF;781021;01;CASA DE SAUDE E MATE;02/06/2026;02/07/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 25.800,00
AFI;14978;;NF;001021;26;HOSPITAL ABC;02/06/2026;02/07/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 16.500,00
AFI;14980;;NF;001021;52;NOTRE DAME INTERMEDI;02/06/2026;02/07/2026;FRANCISCO GILMAR VELOSO SILVA FILHO LTDA;RONALDO;R$ 85.000,00
AFI;15002;;NF;004079;01;DR. RADAMES NARDINI;03/06/2026;03/07/2026;JESSICA CRUZ;AMAURI;R$ 42.000,00
008;980;;NF;000850;01;BOTUCATU;03/06/2026;03/07/2026;NERI DONIDA;CELSO;R$ 2.500,00
003;35143;002;NF;006128;01;HDM HOSPITALAR;07/05/2026;06/07/2026;ROSEANE MARIA DA SILVA;RENATO;R$ 1.240,00
